Date,User ID,Registration Source,Subscription Status,Subscription Start Date,Subscription End Date,Number of Active Widgets,Number of Widget Interactions,Time Spent on Platform,Location
2023-02-25,U02630,Organic,Annual,2023-03-10,,5,1565,1971,India
2023-03-03,U02631,PPC,Monthly,2023-03-12,,5,190,75,Brazil
2023-07-21,U02632,Social Media,Monthly,2023-07-31,,8,472,417,UK
2023-07-25,U02633,Organic,Monthly,2023-08-08,,6,2838,89,Germany
2023-11-05,U02634,Organic,Inactive,2023-11-13,2024-01-04,0,0,149,UK
2023-12-05,U02635,Social Media,Monthly,2023-12-10,,6,2946,409,UK
2023-10-19,U02636,PPC,Free Trial,2023-11-02,,5,2015,429,Germany
2023-09-24,U02637,Referral,Monthly,2023-10-02,,5,2320,139,Brazil
2023-12-03,U02638,Social Media,Monthly,2023-12-04,,3,1446,482,UK
2023-01-18,U02639,Referral,Free Trial,2023-01-29,,7,2044,263,USA
2023-03-13,U02640,Social Media,Free Trial,2023-03-18,,5,1720,455,Brazil
2023-12-21,U02641,Organic,Monthly,2023-12-30,,7,2527,329,India
2023-09-14,U02642,Organic,Monthly,2023-09-23,,2,330,38,Germany
2023-11-29,U02643,Social Media,Monthly,2023-12-13,,9,1314,485,Germany
2023-07-11,U02644,PPC,Free Trial,2023-07-15,,8,2688,211,Brazil
2023-11-09,U02645,Organic,Free Trial,2023-11-16,,5,1725,246,USA
2023-08-12,U02646,Organic,Monthly,2023-08-20,,2,326,96,USA
2023-05-07,U02647,Referral,Monthly,2023-05-21,,6,2952,105,USA
2023-06-26,U02648,PPC,Free Trial,2023-07-07,,8,720,296,USA
2023-07-26,U02649,PPC,Monthly,2023-07-28,,7,672,348,France
2023-11-02,U02650,PPC,Monthly,2023-11-16,,8,2184,408,Germany
2023-06-13,U02651,Organic,Free Trial,2023-06-24,,4,1068,448,UK
2023-10-17,U02652,Organic,Free Trial,2023-10-28,,3,1464,298,Germany
2023-09-26,U02653,Organic,Free Trial,2023-10-03,,7,1358,261,Germany
2023-11-07,U02654,Organic,Inactive,2023-11-14,2023-12-27,0,0,474,Germany
2023-11-22,U02655,Social Media,Annual,2023-11-25,,5,975,1451,USA
2023-04-07,U02656,PPC,Annual,2023-04-11,,7,924,673,USA
2023-01-03,U02657,Social Media,Annual,2023-01-10,,1,386,1568,France
2023-11-08,U02658,Social Media,Monthly,2023-11-18,,4,420,82,Brazil
2023-08-06,U02659,Organic,Monthly,2023-08-16,,2,204,431,Germany
2023-11-04,U02660,PPC,Monthly,2023-11-11,,6,72,140,India
2023-01-10,U02661,PPC,Free Trial,2023-01-15,,1,401,191,Brazil
2023-02-11,U02662,Social Media,Monthly,2023-02-25,,7,3164,203,France
2023-04-16,U02663,Organic,Annual,2023-04-29,,3,33,549,USA
2023-06-24,U02664,PPC,Monthly,2023-06-27,,1,488,480,Germany
2023-04-26,U02665,PPC,Monthly,2023-05-08,,8,3640,135,USA
2023-10-14,U02666,Organic,Free Trial,2023-10-20,,7,2660,220,Brazil
2023-05-19,U02667,Organic,Monthly,2023-05-26,,2,628,16,UK
2023-10-30,U02668,PPC,Monthly,2023-10-31,,7,2562,428,USA
2023-10-06,U02669,Social Media,Inactive,2023-10-10,2023-11-19,0,0,389,USA
2023-07-26,U02670,Organic,Monthly,2023-07-28,,9,2646,123,France
2023-09-09,U02671,PPC,Annual,2023-09-12,,8,1232,1554,UK
2023-02-24,U02672,Organic,Monthly,2023-03-01,,5,1695,93,Brazil
2023-04-08,U02673,Social Media,Inactive,2023-04-09,2023-06-05,0,0,348,India
2023-05-02,U02674,Organic,Monthly,2023-05-09,,3,1245,370,India
2023-01-28,U02675,Social Media,Monthly,2023-02-10,,1,271,473,India
2023-09-21,U02676,Organic,Monthly,2023-09-28,,1,71,111,Germany
2023-06-10,U02677,Organic,Annual,2023-06-19,,2,470,1972,India
2023-11-05,U02678,Organic,Inactive,2023-11-17,2024-01-09,0,0,102,Germany
2023-11-01,U02679,Organic,Free Trial,2023-11-10,,1,199,325,Brazil
2023-12-19,U02680,PPC,Free Trial,2023-12-31,,5,1920,111,Brazil
2023-05-21,U02681,Organic,Inactive,2023-05-29,2023-07-04,0,0,260,USA
2023-04-12,U02682,Social Media,Monthly,2023-04-14,,9,189,33,India
2023-06-10,U02683,Organic,Monthly,2023-06-22,,2,400,494,France
2023-10-21,U02684,Organic,Monthly,2023-10-30,,7,2863,486,Brazil
2022-12-31,U02685,Organic,Free Trial,2023-01-07,,1,34,488,UK
2023-12-30,U02686,Organic,Annual,2024-01-11,,3,1245,1663,UK
2023-04-30,U02687,Organic,Annual,2023-05-07,,6,600,1201,Brazil
2023-03-19,U02688,PPC,Monthly,2023-03-26,,9,873,149,USA
2023-05-27,U02689,PPC,Monthly,2023-06-07,,2,682,103,UK
2023-02-05,U02690,PPC,Inactive,2023-02-18,2023-03-21,0,0,190,UK
2023-06-21,U02691,PPC,Free Trial,2023-07-05,,4,1240,73,USA
2023-06-09,U02692,PPC,Inactive,2023-06-14,2023-08-01,0,0,13,USA
2023-06-01,U02693,Organic,Free Trial,2023-06-15,,3,267,103,USA
2023-10-12,U02694,PPC,Monthly,2023-10-24,,6,1998,398,France
2023-06-08,U02695,Referral,Inactive,2023-06-09,2023-07-12,0,0,281,USA
2023-12-18,U02696,PPC,Monthly,2023-12-27,,8,3536,292,USA
2023-07-12,U02697,PPC,Monthly,2023-07-18,,9,3834,141,USA
2023-09-25,U02698,Organic,Monthly,2023-09-29,,4,892,81,Brazil
2023-08-01,U02699,Social Media,Monthly,2023-08-14,,4,1824,313,India
2023-04-01,U02700,Social Media,Free Trial,2023-04-13,,9,243,401,Brazil
2023-08-02,U02701,PPC,Inactive,2023-08-06,2023-09-01,0,0,90,India
2023-04-26,U02702,Referral,Annual,2023-05-07,,2,754,866,France
2023-07-24,U02703,Organic,Monthly,2023-07-29,,8,848,309,France
2023-07-10,U02704,Organic,Monthly,2023-07-11,,1,292,460,UK
2023-12-02,U02705,Social Media,Free Trial,2023-12-16,,9,2187,484,Brazil
2023-02-11,U02706,Social Media,Free Trial,2023-02-23,,9,4284,61,India
2023-05-16,U02707,Organic,Monthly,2023-05-25,,8,1992,299,France
2023-08-28,U02708,Organic,Annual,2023-09-08,,5,1715,965,France
2023-11-17,U02709,Organic,Monthly,2023-11-23,,5,2090,246,Brazil
2023-08-22,U02710,Organic,Inactive,2023-09-05,2023-09-30,0,0,286,UK
2023-12-24,U02711,Social Media,Free Trial,2024-01-03,,5,1765,289,USA
2023-08-06,U02712,PPC,Monthly,2023-08-14,,4,1980,53,Germany
2023-07-14,U02713,Organic,Free Trial,2023-07-26,,1,453,379,UK
2023-09-18,U02714,Organic,Monthly,2023-09-24,,9,567,263,Germany
2023-05-19,U02715,Organic,Free Trial,2023-05-24,,4,384,434,UK
2023-05-15,U02716,Organic,Inactive,2023-05-23,2023-06-14,0,0,422,UK
2023-01-22,U02717,PPC,Free Trial,2023-01-24,,6,1470,368,USA
2023-10-11,U02718,Referral,Inactive,2023-10-13,2023-11-05,0,0,143,France
2023-10-02,U02719,Social Media,Monthly,2023-10-04,,5,2145,65,India
2023-10-02,U02720,Organic,Inactive,2023-10-16,2023-12-07,0,0,23,UK
2023-05-17,U02721,Social Media,Monthly,2023-05-21,,2,450,187,USA
2023-06-10,U02722,Social Media,Inactive,2023-06-12,2023-08-11,0,0,471,Germany
2023-11-18,U02723,Social Media,Free Trial,2023-11-21,,6,1236,110,Brazil
2023-11-16,U02724,PPC,Annual,2023-11-24,,2,96,841,Brazil
2023-08-02,U02725,Organic,Inactive,2023-08-08,2023-09-21,0,0,481,France
2023-11-13,U02726,Organic,Free Trial,2023-11-25,,8,2992,470,Brazil
2023-05-21,U02727,Organic,Free Trial,2023-05-23,,1,237,266,UK
2023-11-22,U02728,Organic,Monthly,2023-11-25,,1,246,277,Germany
2023-08-25,U02729,Organic,Inactive,2023-09-07,2023-09-28,0,0,380,UK
2023-09-23,U02730,PPC,Monthly,2023-10-01,,4,1356,371,Brazil
2023-06-25,U02731,Social Media,Monthly,2023-07-07,,4,1320,417,India
2023-08-07,U02732,PPC,Free Trial,2023-08-20,,8,3824,46,Brazil
2023-09-19,U02733,Organic,Free Trial,2023-09-28,,1,177,477,India
2023-10-24,U02734,Referral,Inactive,2023-11-07,2023-12-27,0,0,463,Brazil
2023-04-04,U02735,Referral,Free Trial,2023-04-09,,1,46,213,France
2023-02-24,U02736,Social Media,Monthly,2023-03-01,,9,684,478,Germany
2023-02-16,U02737,Referral,Inactive,2023-02-18,2023-04-19,0,0,268,India
2023-12-29,U02738,PPC,Free Trial,2024-01-04,,7,2968,164,USA
2023-02-18,U02739,Referral,Monthly,2023-02-20,,8,1824,247,France
2023-09-13,U02740,Organic,Free Trial,2023-09-16,,1,218,318,UK
2023-05-18,U02741,Organic,Monthly,2023-05-26,,5,1950,109,Brazil
2023-12-18,U02742,Organic,Free Trial,2023-12-28,,2,192,282,Germany
2023-06-29,U02743,Organic,Annual,2023-07-09,,1,470,1136,Germany
2023-07-21,U02744,Organic,Monthly,2023-07-24,,3,936,119,Brazil
2023-01-19,U02745,PPC,Monthly,2023-01-26,,7,2940,152,USA
2023-11-23,U02746,Social Media,Monthly,2023-12-03,,1,188,176,India
2023-05-22,U02747,PPC,Free Trial,2023-05-27,,2,826,269,Brazil
2023-08-26,U02748,Organic,Annual,2023-09-08,,2,44,948,Germany
2023-08-23,U02749,Social Media,Monthly,2023-08-30,,4,1824,239,USA
2023-06-28,U02750,PPC,Monthly,2023-07-08,,3,927,404,USA
2023-08-23,U02751,Organic,Free Trial,2023-08-29,,3,1251,277,UK
2023-06-27,U02752,PPC,Monthly,2023-07-07,,5,670,41,USA
2023-06-08,U02753,Organic,Free Trial,2023-06-18,,3,1152,420,France
2023-07-06,U02754,Organic,Monthly,2023-07-20,,7,1694,437,Germany
2023-01-23,U02755,Referral,Free Trial,2023-01-28,,5,1300,308,France
2023-12-10,U02756,Organic,Annual,2023-12-21,,4,1584,1696,USA
2023-04-10,U02757,PPC,Free Trial,2023-04-20,,3,405,186,USA
2023-07-25,U02758,Social Media,Inactive,2023-08-06,2023-10-04,0,0,113,France
2023-01-11,U02759,Social Media,Inactive,2023-01-21,2023-02-21,0,0,245,UK
2023-03-20,U02760,Organic,Free Trial,2023-04-03,,1,458,102,USA
2023-06-08,U02761,Organic,Monthly,2023-06-12,,3,174,210,France
2023-11-27,U02762,Organic,Free Trial,2023-12-09,,2,778,308,France
2023-05-17,U02763,PPC,Monthly,2023-05-27,,1,195,396,Germany
2023-10-12,U02764,PPC,Annual,2023-10-16,,1,214,664,UK
2023-12-11,U02765,Organic,Monthly,2023-12-15,,2,174,422,India
2023-10-10,U02766,Referral,Monthly,2023-10-16,,9,4410,264,France
2023-06-07,U02767,PPC,Free Trial,2023-06-19,,5,1975,94,Germany
2023-10-12,U02768,Organic,Monthly,2023-10-14,,9,1827,44,India
2023-03-27,U02769,PPC,Free Trial,2023-03-28,,8,896,126,Germany
2023-04-02,U02770,PPC,Annual,2023-04-13,,6,684,1147,Germany
2023-07-24,U02771,Organic,Monthly,2023-07-28,,1,385,467,Brazil
2023-01-15,U02772,Organic,Annual,2023-01-28,,5,1480,1318,UK
2023-02-17,U02773,Social Media,Free Trial,2023-03-01,,1,333,432,USA
2023-03-07,U02774,PPC,Monthly,2023-03-14,,7,3437,482,UK
2023-10-02,U02775,PPC,Monthly,2023-10-14,,8,1760,417,India
2023-06-08,U02776,PPC,Free Trial,2023-06-17,,8,2072,285,Brazil
2023-02-11,U02777,Organic,Monthly,2023-02-17,,7,2114,408,UK
2023-06-09,U02778,Organic,Inactive,2023-06-14,2023-07-27,0,0,94,USA
2023-04-04,U02779,PPC,Inactive,2023-04-05,2023-05-27,0,0,126,UK
2023-12-07,U02780,Organic,Monthly,2023-12-18,,4,1880,371,UK
2023-07-24,U02781,Organic,Monthly,2023-07-29,,5,1545,213,UK
2023-04-14,U02782,Social Media,Free Trial,2023-04-26,,9,4383,155,France
2023-09-25,U02783,Referral,Inactive,2023-10-07,2023-11-01,0,0,453,France
2023-02-19,U02784,Social Media,Free Trial,2023-03-03,,8,2448,224,UK
2023-08-14,U02785,Social Media,Inactive,2023-08-17,2023-09-07,0,0,114,USA
2023-12-17,U02786,Organic,Monthly,2023-12-27,,2,376,358,USA
2023-10-26,U02787,Referral,Monthly,2023-10-28,,6,1842,306,USA
2023-10-23,U02788,Organic,Inactive,2023-10-28,2023-12-18,0,0,365,USA
2023-01-22,U02789,Referral,Free Trial,2023-01-27,,2,430,78,Brazil
2023-01-12,U02790,Referral,Monthly,2023-01-19,,4,196,496,Brazil
2023-10-13,U02791,Social Media,Monthly,2023-10-15,,7,2191,483,Germany
2023-10-10,U02792,Referral,Free Trial,2023-10-14,,1,122,264,UK
2023-04-09,U02793,PPC,Monthly,2023-04-15,,9,3141,240,UK
2023-03-05,U02794,Organic,Monthly,2023-03-17,,1,13,212,Germany
2023-10-10,U02795,PPC,Annual,2023-10-20,,5,2475,1401,USA
2023-06-11,U02796,PPC,Free Trial,2023-06-25,,7,819,404,India
2023-11-24,U02797,Organic,Inactive,2023-12-01,2023-12-20,0,0,257,India
2023-03-25,U02798,PPC,Free Trial,2023-04-01,,2,246,449,Germany
2023-07-21,U02799,Referral,Free Trial,2023-07-27,,4,704,411,India
2023-11-22,U02800,Organic,Free Trial,2023-12-06,,2,540,405,France
2023-04-22,U02801,Social Media,Free Trial,2023-04-23,,4,460,258,UK
2023-09-06,U02802,Referral,Free Trial,2023-09-15,,6,1398,153,India
2023-11-23,U02803,Referral,Inactive,2023-12-01,2023-12-18,0,0,292,Brazil
2023-02-12,U02804,Referral,Monthly,2023-02-24,,2,520,365,Brazil
2023-06-11,U02805,PPC,Free Trial,2023-06-18,,4,92,410,France
2023-05-11,U02806,Referral,Free Trial,2023-05-17,,4,828,250,UK
2023-06-08,U02807,Social Media,Annual,2023-06-11,,1,135,791,France
2023-05-06,U02808,Organic,Inactive,2023-05-14,2023-06-20,0,0,384,UK
2023-02-14,U02809,PPC,Free Trial,2023-02-23,,3,447,238,UK
2023-04-17,U02810,Social Media,Free Trial,2023-04-19,,5,355,40,India
2023-05-07,U02811,Organic,Free Trial,2023-05-09,,8,2336,118,Brazil
2023-09-28,U02812,PPC,Free Trial,2023-10-10,,6,378,428,Germany
2023-09-10,U02813,PPC,Free Trial,2023-09-20,,3,1065,36,India
2023-08-27,U02814,Organic,Monthly,2023-09-03,,6,126,352,USA
2023-07-27,U02815,PPC,Free Trial,2023-08-09,,7,1015,169,France
2023-11-29,U02816,Social Media,Monthly,2023-12-06,,6,2034,26,USA
2023-09-25,U02817,PPC,Free Trial,2023-09-30,,6,918,276,UK
2023-12-02,U02818,Organic,Inactive,2023-12-16,2023-12-31,0,0,138,India
2023-09-30,U02819,Organic,Inactive,2023-10-07,2023-11-16,0,0,229,USA
2023-11-25,U02820,Organic,Monthly,2023-11-30,,7,1015,91,USA
2023-05-21,U02821,Referral,Monthly,2023-05-26,,4,1992,58,Brazil
2023-03-26,U02822,Organic,Monthly,2023-03-28,,4,1240,50,USA
2023-02-21,U02823,PPC,Monthly,2023-02-28,,7,1610,29,Brazil
2023-11-30,U02824,Organic,Annual,2023-12-06,,9,3141,1061,Brazil
2023-04-09,U02825,Organic,Monthly,2023-04-19,,2,436,46,UK
2023-01-14,U02826,Social Media,Inactive,2023-01-19,2023-02-07,0,0,391,Brazil
2023-07-29,U02827,Social Media,Inactive,2023-08-06,2023-08-26,0,0,409,UK
2023-04-13,U02828,Organic,Monthly,2023-04-17,,6,2208,48,Brazil
2023-02-26,U02829,PPC,Monthly,2023-03-09,,4,1556,118,Brazil
2023-08-25,U02830,Organic,Free Trial,2023-08-31,,1,458,438,UK
2023-11-29,U02831,PPC,Free Trial,2023-12-05,,9,1188,73,USA
2023-04-01,U02832,PPC,Monthly,2023-04-14,,6,750,184,France
2023-09-19,U02833,Organic,Free Trial,2023-09-24,,8,1328,288,India
2023-03-20,U02834,Organic,Inactive,2023-03-31,2023-05-29,0,0,41,India
2023-05-24,U02835,Organic,Free Trial,2023-05-26,,7,182,442,UK
2023-11-29,U02836,Referral,Monthly,2023-12-06,,6,1668,218,USA
2023-03-17,U02837,Referral,Monthly,2023-03-31,,2,716,388,France
2023-06-20,U02838,Organic,Monthly,2023-06-21,,2,982,28,Germany
2023-10-20,U02839,Social Media,Monthly,2023-11-02,,4,912,115,UK
2023-03-23,U02840,Organic,Inactive,2023-04-01,2023-04-27,0,0,491,Germany
2023-08-23,U02841,Organic,Monthly,2023-08-24,,3,741,215,India
2023-04-16,U02842,Social Media,Monthly,2023-04-23,,8,336,256,India
2023-12-30,U02843,Referral,Free Trial,2024-01-02,,7,2058,332,France
2023-03-31,U02844,Referral,Monthly,2023-04-06,,2,92,176,France
2023-05-20,U02845,PPC,Inactive,2023-05-24,2023-06-17,0,0,98,Germany
2023-12-17,U02846,Organic,Monthly,2023-12-30,,9,1980,325,India
2023-06-09,U02847,Social Media,Inactive,2023-06-23,2023-07-26,0,0,20,France
2023-11-19,U02848,Organic,Monthly,2023-11-29,,2,578,58,France
2023-06-22,U02849,PPC,Free Trial,2023-06-29,,3,453,408,India
2023-07-28,U02850,Organic,Free Trial,2023-08-07,,8,1984,393,India
2023-07-22,U02851,PPC,Monthly,2023-07-24,,4,952,476,USA
2023-06-19,U02852,Organic,Monthly,2023-06-22,,2,284,70,Brazil
2023-10-26,U02853,Organic,Annual,2023-11-08,,2,268,1778,France
2023-04-18,U02854,Referral,Free Trial,2023-04-22,,6,372,152,Germany
2023-05-14,U02855,Organic,Monthly,2023-05-16,,8,776,216,UK
2023-05-11,U02856,PPC,Monthly,2023-05-23,,7,749,495,UK
2023-09-17,U02857,Organic,Monthly,2023-09-23,,4,1516,472,India
2023-09-19,U02858,Organic,Free Trial,2023-09-22,,2,208,210,Brazil
2023-04-23,U02859,Organic,Free Trial,2023-04-29,,9,3807,14,Germany
2023-08-05,U02860,Organic,Free Trial,2023-08-12,,4,788,220,USA
2023-02-02,U02861,Social Media,Free Trial,2023-02-08,,9,3465,481,France
2023-10-29,U02862,Organic,Free Trial,2023-11-07,,5,1325,38,USA
2023-10-20,U02863,Referral,Free Trial,2023-10-29,,7,574,199,Germany
2023-11-06,U02864,PPC,Monthly,2023-11-07,,5,2420,197,USA
2023-10-24,U02865,PPC,Monthly,2023-10-26,,2,842,334,India
2023-09-26,U02866,PPC,Inactive,2023-09-30,2023-10-30,0,0,264,UK
2023-09-17,U02867,PPC,Free Trial,2023-09-22,,7,2037,159,India
2023-05-04,U02868,Social Media,Monthly,2023-05-07,,6,162,22,France
2023-08-16,U02869,Organic,Monthly,2023-08-22,,3,519,443,India
2023-01-08,U02870,Organic,Free Trial,2023-01-13,,8,3208,381,Germany
2023-11-20,U02871,Social Media,Inactive,2023-11-22,2024-01-03,0,0,440,Germany
2023-10-10,U02872,Referral,Free Trial,2023-10-21,,5,2385,375,France
2023-06-05,U02873,Social Media,Inactive,2023-06-11,2023-06-28,0,0,166,France
2023-02-17,U02874,PPC,Inactive,2023-03-03,2023-03-18,0,0,89,UK
2023-10-18,U02875,Social Media,Monthly,2023-10-28,,7,1183,365,USA
2023-05-20,U02876,PPC,Monthly,2023-05-22,,7,2506,282,UK
2023-05-07,U02877,PPC,Monthly,2023-05-09,,5,290,157,India
2023-07-22,U02878,Organic,Monthly,2023-07-29,,2,370,215,USA
2023-01-04,U02879,PPC,Monthly,2023-01-10,,5,2375,123,France
2023-03-01,U02880,Organic,Free Trial,2023-03-07,,7,2352,15,Germany
2023-05-16,U02881,Organic,Free Trial,2023-05-29,,7,518,287,India
2023-02-11,U02882,Social Media,Monthly,2023-02-14,,4,1940,241,UK
2023-01-13,U02883,Organic,Monthly,2023-01-23,,1,298,146,Brazil
2023-09-29,U02884,Organic,Inactive,2023-09-30,2023-10-20,0,0,169,Brazil
2023-10-10,U02885,Organic,Free Trial,2023-10-23,,3,39,353,France
2023-11-28,U02886,Referral,Inactive,2023-12-06,2024-01-04,0,0,298,USA
2023-11-13,U02887,PPC,Free Trial,2023-11-21,,4,1396,214,Brazil
2023-02-15,U02888,PPC,Monthly,2023-02-18,,2,764,492,USA
2023-04-25,U02889,Social Media,Monthly,2023-05-02,,7,1211,335,Germany
2023-05-18,U02890,Social Media,Monthly,2023-05-24,,5,1160,314,France
2023-12-12,U02891,Organic,Free Trial,2023-12-14,,7,2569,369,France
2023-05-09,U02892,PPC,Monthly,2023-05-11,,9,1485,167,India
2023-06-05,U02893,Social Media,Inactive,2023-06-08,2023-07-28,0,0,367,India
2023-05-19,U02894,PPC,Monthly,2023-05-20,,5,1355,409,USA
2023-10-30,U02895,Organic,Monthly,2023-11-02,,9,1638,458,Brazil
2023-08-06,U02896,Social Media,Inactive,2023-08-18,2023-09-18,0,0,115,Brazil
2023-07-16,U02897,PPC,Annual,2023-07-28,,5,2000,1397,UK
2023-06-30,U02898,Organic,Monthly,2023-07-05,,5,1925,351,USA
2023-02-13,U02899,PPC,Free Trial,2023-02-27,,8,560,483,Brazil
2023-08-05,U02900,Organic,Inactive,2023-08-12,2023-09-24,0,0,279,India
2023-11-21,U02901,Organic,Monthly,2023-12-02,,4,1320,449,India
2023-05-21,U02902,Social Media,Free Trial,2023-06-04,,7,1001,430,India
2023-05-20,U02903,Organic,Free Trial,2023-06-02,,5,165,58,USA
2023-05-27,U02904,PPC,Inactive,2023-05-29,2023-06-27,0,0,215,France
2023-07-18,U02905,PPC,Free Trial,2023-08-01,,6,324,227,UK
2023-01-04,U02906,Organic,Inactive,2023-01-16,2023-03-11,0,0,315,UK
2023-09-18,U02907,Referral,Free Trial,2023-09-22,,5,1825,173,India
2023-07-03,U02908,Organic,Annual,2023-07-04,,5,2405,1136,Germany
2023-03-11,U02909,Organic,Monthly,2023-03-21,,9,3303,288,USA
2023-11-28,U02910,Organic,Monthly,2023-12-05,,8,3504,331,Brazil
2023-04-27,U02911,Organic,Inactive,2023-05-09,2023-06-02,0,0,240,Brazil
2023-07-14,U02912,Organic,Monthly,2023-07-22,,7,266,208,France
2023-03-13,U02913,Social Media,Monthly,2023-03-19,,8,2928,496,India
2023-02-28,U02914,Referral,Free Trial,2023-03-11,,9,3366,438,Germany
2023-04-01,U02915,Organic,Free Trial,2023-04-15,,5,525,380,India
2023-12-26,U02916,PPC,Free Trial,2024-01-08,,3,1254,223,Germany
2023-02-20,U02917,Social Media,Monthly,2023-02-27,,4,1100,293,UK
2023-08-26,U02918,Social Media,Free Trial,2023-09-05,,6,1800,495,Germany
2023-03-12,U02919,PPC,Free Trial,2023-03-19,,5,320,285,UK
2023-05-16,U02920,Organic,Monthly,2023-05-30,,9,1458,442,UK
2023-12-15,U02921,Organic,Monthly,2023-12-16,,3,684,194,USA
2023-01-24,U02922,Social Media,Annual,2023-01-26,,2,364,1035,Germany
2023-03-08,U02923,Social Media,Free Trial,2023-03-12,,6,630,130,France
2023-07-02,U02924,Organic,Free Trial,2023-07-04,,7,924,225,France
2023-10-16,U02925,Organic,Inactive,2023-10-28,2023-12-26,0,0,106,Germany
2023-06-13,U02926,Referral,Free Trial,2023-06-23,,1,13,452,USA
2023-07-29,U02927,Social Media,Inactive,2023-08-06,2023-10-03,0,0,128,France
2023-11-24,U02928,Referral,Inactive,2023-11-26,2024-01-25,0,0,374,India
2023-12-27,U02929,Social Media,Annual,2024-01-03,,4,304,1812,France
2023-09-01,U02930,Organic,Free Trial,2023-09-05,,6,924,412,USA
2023-05-20,U02931,PPC,Inactive,2023-05-21,2023-07-03,0,0,115,UK
2023-11-07,U02932,PPC,Annual,2023-11-16,,1,486,1683,UK
2023-09-08,U02933,Organic,Monthly,2023-09-16,,6,444,467,UK
2023-06-18,U02934,PPC,Monthly,2023-06-29,,9,819,327,USA
2023-11-11,U02935,Social Media,Free Trial,2023-11-23,,1,114,391,UK
2023-09-07,U02936,Organic,Free Trial,2023-09-11,,8,1520,151,UK
2023-04-20,U02937,Social Media,Monthly,2023-04-28,,8,2792,466,USA
2023-03-13,U02938,PPC,Monthly,2023-03-17,,3,1350,404,India
2023-03-21,U02939,Referral,Monthly,2023-04-01,,9,1026,332,France
2023-01-17,U02940,Organic,Monthly,2023-01-30,,8,1880,497,USA
2023-01-12,U02941,Organic,Monthly,2023-01-22,,3,1140,277,USA
2023-04-07,U02942,PPC,Monthly,2023-04-08,,5,185,300,Germany
2023-11-08,U02943,Organic,Inactive,2023-11-12,2023-12-02,0,0,496,UK
2023-02-18,U02944,Social Media,Free Trial,2023-02-20,,5,125,375,Brazil
2023-04-24,U02945,Social Media,Monthly,2023-04-28,,9,2574,176,India
2023-05-26,U02946,Organic,Free Trial,2023-06-09,,4,1368,169,Brazil
2023-07-25,U02947,PPC,Monthly,2023-08-08,,6,2952,240,Germany
2023-10-27,U02948,PPC,Annual,2023-11-01,,3,921,1015,India
2023-07-19,U02949,Organic,Inactive,2023-07-29,2023-09-07,0,0,202,UK
2023-06-24,U02950,Referral,Free Trial,2023-06-29,,5,1485,164,Brazil
2023-10-24,U02951,Social Media,Inactive,2023-10-28,2023-11-25,0,0,110,UK
2023-01-14,U02952,PPC,Free Trial,2023-01-22,,8,376,69,UK
2023-08-27,U02953,Social Media,Monthly,2023-09-02,,3,1389,52,France
2023-03-10,U02954,PPC,Free Trial,2023-03-19,,8,3032,202,India
2023-03-02,U02955,Referral,Inactive,2023-03-11,2023-05-09,0,0,320,India
2023-10-18,U02956,PPC,Monthly,2023-10-25,,3,525,118,Germany
2023-02-14,U02957,Social Media,Monthly,2023-02-17,,2,382,102,USA
2023-08-09,U02958,Social Media,Inactive,2023-08-15,2023-10-02,0,0,225,UK
2023-03-05,U02959,Organic,Free Trial,2023-03-09,,9,1926,474,UK
2023-08-18,U02960,Social Media,Free Trial,2023-08-30,,7,2625,172,Brazil
2023-08-17,U02961,Organic,Inactive,2023-08-30,2023-10-13,0,0,360,Germany
2023-03-05,U02962,Organic,Monthly,2023-03-16,,7,2576,243,India
2023-09-24,U02963,Organic,Free Trial,2023-09-25,,8,2736,425,France
2023-05-22,U02964,Referral,Monthly,2023-05-27,,1,440,412,India
2023-01-29,U02965,Social Media,Monthly,2023-02-05,,8,3240,360,France
2023-12-13,U02966,Social Media,Free Trial,2023-12-26,,3,954,176,France
2023-04-28,U02967,Social Media,Free Trial,2023-05-08,,3,1278,157,India
2023-07-22,U02968,PPC,Free Trial,2023-07-23,,6,2526,37,Brazil
2023-07-05,U02969,Referral,Monthly,2023-07-07,,4,520,268,UK
2023-05-24,U02970,PPC,Inactive,2023-05-25,2023-07-04,0,0,425,France
2023-01-02,U02971,Organic,Inactive,2023-01-03,2023-02-12,0,0,95,Brazil
2023-03-06,U02972,Organic,Monthly,2023-03-11,,9,3771,117,Germany
2023-12-28,U02973,Social Media,Free Trial,2024-01-01,,8,2552,451,Germany
2023-07-09,U02974,Social Media,Inactive,2023-07-10,2023-08-08,0,0,447,France
2023-07-04,U02975,Organic,Monthly,2023-07-07,,1,203,435,UK
2023-03-18,U02976,Organic,Free Trial,2023-03-20,,1,77,126,France
2023-01-31,U02977,Social Media,Inactive,2023-02-09,2023-03-08,0,0,373,Germany
2023-11-09,U02978,Organic,Annual,2023-11-17,,4,916,1562,Germany
2023-11-11,U02979,Social Media,Annual,2023-11-15,,6,1374,1520,India
2023-06-02,U02980,Referral,Annual,2023-06-13,,4,1928,1988,UK
2023-08-09,U02981,PPC,Free Trial,2023-08-20,,3,681,327,India
2023-07-27,U02982,Organic,Free Trial,2023-07-28,,8,1968,40,Brazil
2023-05-28,U02983,Social Media,Monthly,2023-05-30,,8,3520,454,Brazil
2023-06-25,U02984,Social Media,Free Trial,2023-07-01,,6,2370,291,Brazil
